week,pdd_close,jd_close,pdd_return,jd_return,pdd_weight,jd_weight,long_pdd_short_jd_return,long_pdd_short_jd_wealth
2024-12-13,102.27,37.29,0.023826208829712536,0.002958579881656709,0.5,-0.5,0.010433814474027914,114.58680262407763
2024-12-20,99.51,35.64,-0.026987386330302066,-0.04424778761061943,0.5,-0.5,0.00863020064015868,115.57570972143768
2024-12-27,97.45,34.98,-0.0207014370415034,-0.0185185185185186,0.5,-0.5,-0.0010914592614924001,115.44956354265865
2025-01-03,96.82,35.34,-0.006464853771164791,0.010291595197255754,0.5,-0.5,-0.008378224484210273,114.48230118269416
2025-01-10,94.68,33.1,-0.02210287130758093,-0.06338426711941147,0.5,-0.5,0.020640697905915273,116.84529577698015
2025-01-17,105.57,39.0,0.1150190114068439,0.17824773413897277,0.5,-0.5,-0.031614361366064436,113.15130637236201
2025-01-24,111.34,40.72,0.054655678696599486,0.04410256410256408,0.5,-0.5,0.005276557297017703,113.7483557236682
2025-01-31,111.91,40.72,0.005119453924914641,0.0,0.5,-0.5,0.0025597269624573205,114.03952045674926
2025-02-07,114.27,40.17,0.021088374586721415,-0.013506876227897813,0.5,-0.5,0.017297625407309614,116.01213336323933
2025-02-14,124.16,41.38,0.08654940054257465,0.030121981578292267,0.5,-0.5,0.02821370948214119,119.28526599035317
2025-02-21,131.34,42.42,0.05782860824742264,0.025132914451425847,0.5,-0.5,0.016347846897998397,121.23532325595048
2025-02-28,113.69,41.9,-0.13438404141921734,-0.012258368694012312,0.5,-0.5,-0.06106283636260251,113.83235055060517
2025-03-07,119.92,42.29,0.054798135280147875,0.009307875894988049,0.5,-0.5,0.022745129692579913,116.42148212708989
2025-03-14,122.54,43.16,0.021847898599065996,0.020572239300070905,0.5,-0.5,0.0006378296494975455,116.495739200229
2025-03-21,126.64,42.24,0.033458462542843126,-0.02131603336422605,0.5,-0.5,0.027387247953534588,119.68623689523596
2025-03-28,120.45,41.58,-0.04887871130764365,-0.01562500000000011,0.5,-0.5,-0.01662685565382177,117.69623111062974
2025-04-04,104.21,36.81,-0.13482772934827736,-0.11471861471861466,0.5,-0.5,-0.010054557314831347,116.51284760918827
2025-04-11,90.5,36.42,-0.13156127051146715,-0.010594947025264867,0.5,-0.5,-0.060483161743101144,109.46578220209244
2025-04-18,93.69,34.72,0.03524861878453045,-0.04667764964305332,0.5,-0.5,0.040963134213791885,113.94984373025447
2025-04-25,104.01,32.53,0.1101504963176434,-0.06307603686635943,0.5,-0.5,0.08661326659200141,123.8194119233799
2025-05-02,110.92,34.47,0.06643591962311302,0.059637257915770014,0.5,-0.5,0.0033993308536715006,124.2403150706145
2025-05-09,109.65,33.86,-0.011449693472773137,-0.017696547722657385,0.5,-0.5,0.003123427124942124,124.6283706407174
2025-05-16,117.61,33.55,0.072594619243046,-0.009155345540460824,0.5,-0.5,0.04087498239175341,129.72255309616963
2025-05-23,119.24,33.35,0.013859365700195525,-0.005961251862891093,0.5,-0.5,0.009910308781543309,131.00814365328284
2025-05-30,96.51,32.41,-0.19062395169406232,-0.028185907046476943,0.5,-0.5,-0.08121902232379269,120.36779030930822
2025-06-06,100.6,33.12,0.04237902807999161,0.021906818883060897,0.5,-0.5,0.010236104598465356,121.59988760120044
2025-06-13,100.58,32.76,-0.00019880715705766772,-0.010869565217391242,0.5,-0.5,0.005335379030166787,122.24866909157855
2025-06-20,101.21,31.44,0.006263670709882652,-0.04029304029304015,0.5,-0.5,0.0232783555014614,125.09441707027284
2025-06-27,105.14,33.07,0.03883015512301169,0.051844783715012666,0.5,-0.5,-0.006507314296000488,124.28038838172162
2025-07-04,103.59,32.07,-0.014742248430663851,-0.030238887208950738,0.5,-0.5,0.007748319389143443,125.24335252470999
2025-07-11,104.91,31.1,0.012742542716478455,-0.030246336139694407,0.5,-0.5,0.02149443942808643,127.93538817932286
2025-07-18,109.0,33.92,0.03898579735010954,0.09067524115755621,0.5,-0.5,-0.025844721903723333,124.62893365018337
2025-07-25,118.45,33.18,0.08669724770642206,-0.02181603773584906,0.5,-0.5,0.05425664272113556,131.39088117595747
2025-08-01,110.06,30.91,-0.07083157450401012,-0.06841470765521396,0.5,-0.5,-0.001208433424398081,131.23210404348333
2025-08-08,114.26,31.49,0.0381610030892241,0.0187641539954706,0.5,-0.5,0.00969842454687675,132.50484870267692
2025-08-15,118.95,31.7,0.04104673551549087,0.006668783740870099,0.5,-0.5,0.017188975887310387,134.78247135197898
2025-08-22,127.11,31.88,0.06860025220680965,0.005678233438485725,0.5,-0.5,0.031461009384161964,139.02286394800416
2025-08-29,120.22,31.07,-0.05420501927464405,-0.025407779171894518,0.5,-0.5,-0.014398620051374766,137.02112655156287
2025-09-05,124.68,31.45,0.03709865247047084,0.01223044737689083,0.5,-0.5,0.012434102546790005,138.72486129018168
2025-09-12,125.44,33.67,0.006095604748155292,0.07058823529411762,0.5,-0.5,-0.03224631527298116,134.2514956768179
2025-09-19,129.47,35.1,0.032126913265306145,0.042471042471042386,0.5,-0.5,-0.0051720646028681205,133.55713826814574
2025-09-26,129.99,34.5,0.004016374449679505,-0.017094017094017144,0.5,-0.5,0.010555195771848325,134.96686000929387
2025-10-03,134.25,35.4,0.03277175167320556,0.02608695652173898,0.5,-0.5,0.0033423975757332913,135.41797291499324
2025-10-10,124.27,31.85,-0.07433891992551211,-0.1002824858757061,0.5,-0.5,0.01297178297509699,137.1745854705741
2025-10-17,128.48,33.07,0.03387784662428572,0.03830455259026677,0.5,-0.5,-0.002213352982990524,136.87096969263231
2025-10-24,133.96,33.19,0.04265255292652559,0.003628666465073982,0.5,-0.5,0.019511943230725803,139.54158828320936
2025-10-31,134.87,33.04,0.006793072558972879,-0.004519433564326603,0.5,-0.5,0.005656253061649741,140.33087081916372
2025-11-07,135.78,31.79,0.006747238081115103,-0.0378329297820823,0.5,-0.5,0.022290083931598703,143.4588577079172
2025-11-14,130.95,29.31,-0.03557224922669033,-0.07801195344447942,0.5,-0.5,0.021219852108894544,146.50303345219012
2025-11-21,113.24,28.93,-0.13524245895379916,-0.012964858410098867,0.5,-0.5,-0.06113880027185015,137.5460137507365
2025-11-28,116.08,29.83,0.025079477216531254,0.03110957483581056,0.5,-0.5,-0.0030150488096396533,137.13130580570666
2025-12-05,117.62,29.9,0.01326671261199186,0.0023466309084814174,0.5,-0.5,0.005460040851755221,137.88004833746032
2025-12-12,111.96,29.44,-0.04812106784560455,-0.01538461538461533,0.5,-0.5,-0.01636822623049461,135.62319651360124
2025-12-19,109.51,28.82,-0.021882815291175306,-0.021059782608695676,0.5,-0.5,-0.00041151634123981484,135.5673853519847
2025-12-26,115.01,29.4,0.050223723860834735,0.02012491325468413,0.5,-0.5,0.015049405303075303,137.60759388002495
2026-01-02,115.75,29.53,0.006434223111033699,0.004421768707483009,0.5,-0.5,0.0010062272017753449,137.7460583841579
2026-01-09,120.55,29.45,0.04146868250539959,-0.0027091093802913413,0.5,-0.5,0.022088895942845466,140.78871673434264
2026-01-16,106.76,28.9,-0.11439236831190369,-0.018675721561969505,0.5,-0.5,-0.04785832337496709,134.05080480132386
