month,US_S&P500,HK_HangSeng,US_SPY,CN_CSI300
2023-08-31,4507.66015625,18382.060546875,433.8666076660156,3765.27
2023-09-30,4288.0498046875,17809.66015625,413.286376953125,3689.52
2023-10-31,4193.7998046875,17112.48046875,404.3144226074219,3572.51
2023-11-30,4567.7998046875,17042.880859375,441.24609375,3496.2
2023-12-31,4769.830078125,17047.390625,461.3913269042969,3431.11
2024-01-31,4845.64990234375,15485.0703125,468.7396545410156,3215.35
2024-02-29,5096.27001953125,16511.439453125,493.20166015625,3516.08
2024-03-31,5254.35009765625,16541.419921875,509.330322265625,3537.48
2024-04-30,5035.68994140625,17763.029296875,488.7944030761719,3604.39
2024-05-31,5277.509765625,18079.609375,513.5173950195312,3579.92
2024-06-30,5460.47998046875,17718.609375,531.6343383789062,3461.66
2024-07-31,5522.2998046875,17344.599609375,538.0719604492188,3442.08
2024-08-31,5648.39990234375,17989.0703125,550.6444091796875,3321.43
2024-09-30,5762.47998046875,21133.6796875,562.2103881835938,4017.85
2024-10-31,5705.4501953125,20317.330078125,557.1934814453125,3891.04
2024-11-30,6032.3798828125,19423.609375,590.4208374023438,3916.58
2024-12-31,5881.6298828125,20059.94921875,576.2152709960938,3934.91
2025-01-31,6040.52978515625,20225.109375,591.6903686523438,3817.08
2025-02-28,5954.5,22941.3203125,584.178955078125,3890.05
2025-03-31,5611.85009765625,23119.580078125,551.62890625,3887.31
2025-04-30,5569.06005859375,22119.41015625,546.84619140625,3770.57
2025-05-31,5911.68994140625,23289.76953125,581.2127685546875,3840.23
2025-06-30,6204.9501953125,24072.279296875,611.0790405273438,3936.08
2025-07-31,6339.39013671875,24773.330078125,625.1531982421875,4075.59
2025-08-31,6460.259765625,25077.619140625,637.9810180664062,4496.76
2025-09-30,6688.4599609375,26855.560546875,660.7061157226562,4640.69
2025-10-31,6840.2001953125,25906.650390625,676.4556274414062,4640.67
2025-11-30,6849.08984375,25858.890625,677.7747192382812,4526.66
2025-12-31,6845.5,25630.5390625,678.3152465820312,4629.94
2026-01-31,6939.02978515625,27387.109375,688.3121337890625,4706.34
2026-02-28,6878.8798828125,26630.5390625,682.3637084960938,4710.65
2026-03-31,6528.52001953125,24788.140625,648.6688842773438,4450.05
2026-04-30,7209.009765625,25776.529296875,716.8132934570312,4807.31
2026-05-31,7580.06005859375,25182.390625,754.5361328125,4892.12
2026-06-30,7499.35986328125,22881.01953125,746.77001953125,4979.43
