month,真实净值(价格),对数收益正确累加,误当简单收益复利,偏离%
2016-01-31,1.519778122827404,1.519778122827402,1.3470858414460936,-11.362992978214004
2016-02-29,1.5135039311466316,1.5135039311466294,1.3415130745994468,-11.363753539568567
2016-03-31,1.613381742272407,1.6133817422724055,1.427242454601379,-11.53721297284891
2016-04-30,1.6177369021778572,1.6177369021778543,1.4310899597919449,-11.537533831035274
2016-05-31,1.6425280771942246,1.6425280771942226,1.4528545008393194,-11.547661132155895
2016-06-30,1.6440242909072411,1.644024290907239,1.4541773344557547,-11.547697774387567
2016-07-31,1.7025676683400586,1.7025676683400548,1.5050596285978841,-11.600598520394644
2016-08-31,1.7004918248003351,1.7004918248003327,1.503223475747354,-11.600664359332846
2016-09-30,1.6983926507298106,1.6983926507298084,1.5013666735133133,-11.600731852662804
2016-10-31,1.6654002204352694,1.665400220435267,1.4719146081365018,-11.61796485461003
2016-11-30,1.7223144766230472,1.722314476623044,1.521376156972577,-11.666761348046684
2016-12-31,1.7536619132622497,1.7536619132622457,1.5488173880439604,-11.68095877940505
2017-01-31,1.7850250310778926,1.785025031077889,1.5762722123550008,-11.694671788262589
2017-02-28,1.8514246779072017,1.851424677907198,1.6338424035305679,-11.75215373182682
2017-03-31,1.8507041087263931,1.8507041087263894,1.6332063929728589,-11.752160419809654
2017-04-30,1.8675292461111879,1.867529246111184,1.6479871271935038,-11.755752654200368
2017-05-31,1.8891482338740375,1.8891482338740337,1.6669550620454978,-11.7615530557331
2017-06-30,1.8982421688061433,1.8982421688061402,1.6749601570528032,-11.762567254196455
2017-07-31,1.9349709262383277,1.934970926238324,1.7070591228932575,-11.778564745060082
2017-08-31,1.9360282582448805,1.9360282582448765,1.7079916616030741,-11.778577904050557
2017-09-30,1.973399370209532,1.9733993702095274,1.7406468213947577,-11.794497977875661
2017-10-31,2.0171854219751992,2.0171854219751943,1.778846290707911,-11.8154299882809
2017-11-30,2.073833289397354,2.0738332893973497,1.8281124011678658,-11.848632649777436
2017-12-31,2.09422245221281,2.094222452212806,1.8459979483004352,-11.852824118569371
2018-01-31,2.2118731557287115,2.2118731557287066,1.9468953935293487,-11.979790139098856
2018-02-28,2.1257265093825546,2.1257265093825493,1.8695528176437874,-12.0511124365277
2018-03-31,2.0685774180158933,2.0685774180158893,1.818602834403596,-12.08437167665033
2018-04-30,2.0742014145759784,2.0742014145759744,1.8235404971566291,-12.084695134131461
2018-05-31,2.1190214678173973,2.1190214678173924,1.862524494534907,-12.10450093017148
2018-06-30,2.1292826942249956,2.12928269422499,1.8715218835943528,-12.105523204116453
2018-07-31,2.2059827704030033,2.2059827704029975,1.9377512078151884,-12.159277315607165
